Product_Id,Rating,Review_Text,Helpfulness,B_Helpfulness
B007HJPBME,1,"First of all to differentiate between fake and original by looking is:-1. The ink used to print, the original one is written with grey and must have an arrow, but fake is written in black and no arrow found.2. Check where it is made, the card should be made in Korea, some card are also showing made in Philippines. ( Samsung also assembling its memory card in Philippines) , but if you find made in Taiwan its fake3. The boundary of memory card should be white if it is black then go refund/ replace it.And all above you can register sereal no. On Samsung website and check yourself.",160,1
B007HJPBME,1,I got this card today and tried to register on samsung site but site showing invalid serial no. and looking like a fake chinese card .. returning this s*** ..... if u NOTICE properly my pic the things written on this card is in balck while it must be of grey colour and there is no arrow sign after EVO ..... total FAKE,588,1
B007HJPBME,3,"NOTE: Most weird thing happened - My review got deleted.UPDATE: There are too many reports of FAKE product for this memory card, Avoid if you can.--Short Version:1. Slow Read-Rate (14MB/s vs 20MB/s) compared to other class-10 memory cards.2. Comparable Write-Rate to other class-10 memory cards.Should you buy it?Only recommended for playback devices like car-stereo, Mp3 player etc.Not recommended for phone/tablet, since moving Apps to memory card will have slow performance.Benchmark:I bought 5 Different UHS-I Class 10 Memory Cards from Amazon.Benchmark Results (Simplified average speed), Hardware - MacBook Air:LexerMade in: KoreaRead: 44.0 MB/sWrite: 24.0 MB/sSanDiskMade in: ChinaRead: 44.0 MB/sWrite: 20.3 MB/sStrontium NitroMade in: Not PrintedRead: 84.6 MB/s (Very-High Read rate)Write: 14.4 MB/s (Slow Write rate)SamsungMade in: PhilippinesRead: 44.1 MB/sWrite: 13.8 MB/s (Slow Write rate)StrontiumMade in: TaiwanRead: 22.5 MB/s (Slow Read rate)Write: 19.7 MB/s--One last thing, Please hit YES Button if you found my review HELPFUL",71,1
B007HJPBME,4,"Samsung Evo Cards use TLC nands, but they are definitely better than the other ' Value ' choices in the price bracket. According to A1 SD Bench it gives 27 MB read speed and 17.5 MB write speed inside my phone. Which is more than enough. This card is built to withstand elements. If you want exceptional performance,like faster gallery loading times, look at Samsung PRO line up, as they offer excellent Value for Money.Also i might add a note to genuine or not issue posted by many reviewers. As it turns out that you cant register a Micro SD card in Samsung website, you can register TV, smart phone etc. New Samsung EVO cards doesn't have the arrows and you can check if the card is genuine by checking its transfer speeds. Also the sides of genuine card will be white and the fake ones will be black. Genuine cards are made in Philippines also.Last but not least, i too have purchased the card depicted here by many as fake ( The graphics without arrow and white writings instead of grey ) but when i ran benchmarks with that i got exactly the advertised speed by Samsung, Write 12 Mbps and Read 40 Mbps.At least if they are fake,they perform as good as the Genuine ones. Hope this helps",363,1
B007HJPBME,1,plese don't buy this fake memory card!I think this product is a replica of the original samsing evo 32gb memory card. by the first day itself the memory card got automatically formatted!cannot save applications in android device! rest of the things okkeyy ie.(physical appearance is good.)...keep on automatically formating,145,1
B007HJPBME,1,"Recieved duplicate one. I though purchasing from cloudtail would give me genuine product.No arrow > as shown in picture. And Samsung logo missing, have verified on Samsung website.",25,1
B007HJPBME,1,I have received a fake Samsung Evo 16GB Class 10 micro SDHC Card. The product I received has no SIDE ARROW mark as shown in the product image on the website. UNEXPECTED!,92,1
B007HJPBME,2,"I got the product and Amazon service is awesome as everytime but after 2 month use it got corrupted and I was not able to delete the data and not even copy the data and cannot format the memory card also. The memory card became write protected. Not only mine many persons have the same problem of write protected data cause. I had sandisk card and after 5-6 years of uses it is working well till now..Amazon service is awesome but do not go for samsung as its products are faulty, On my every purchase of samsung I have regretted.",5,1
B007HJPBME,1,I have purchased this Product 10 sept-15.from last month this card not working .I want to sumsung service center and show the bill and card .sevice center not ready to return or replace this Product and tell me raised the complain in amazon customer care we are not responsible for that.at the time of purchasing this card they mentioned 5 year gurentey,20,1
B007HJPBME,1,"Dont buy it , it is a fake product, u will be cheated definitely........it differs from the picture, not same as shown.........the arrow was missing and the orange colour also differs, as u can check on Samsung website......There we a problem in the memory card, it automatically shows that the memory card ejected, again and again with the internal of 1 to 2 minutes repeatedly, while I'm doing nothing to it, it is always inserted in my laptop.......U cannot do any work continuously with the files stored in your memory card....For example- today i was watching a movie , and in every 2 minutes my laptop shows me that the memory card gets ejected and the movie automatically closes.......It was very irritating..........I loose my money for this Chinese product.......( I used other brand memory card and there was no problem )Please think before u buy........",3,1
