Product_Id,Rating,Review_Text,Helpfulness,B_Helpfulness
B0117H62QK,4,"Price - 9/10 ( 12,999)Build Quality - 9/10Specifications - 8/10**NOTE TO BUYER** - If you need more than 16 GB, Xiaomi has launched a 32 GB Mi 4i. If you need a good cover, you can consider the Heartly Armour Case.- BREAKDOWN -Display - 9/10Camera - 9/10 back and 8/10 frontSpeaker - 7/10Battery - 8/10CPU - 9/10GPU - 8/10 PROS:- Premium feel, light as a feather- Superb form factor, comfortable to hold and operate- Clear screen, slim bezels, sunlight display really works- No heating issues with latest update and 2nd Gen Snapdragon processor- Sharp back camera, sufficient front camera- Dual flash for different light conditions- Decent battery, lasts one full day- Dual 4G sim- Smooth but limited MIUI 6, could be better- Great for gaming- Supports HEVC/H.265 videos natively, so great for movies and videos- Free Screenguard from Xiaomi if you register your mi 4i on their website CONS:- No Micro SD slot (This can be a dealbreaker)- Speaker could be louder- Phone is slippery despite matte finish, definitely requires a cover for grip- Not a big upgrade from Mi 3, apart from the processor- MIUI is not the best OS, I think vanilla Android is better- No point in 4G capability since only a few cities have 4G network IN THE BOX:- 5"" Mi 4i- Rapid Charger and USB cable- Instruction manuals- Pin to open the sim card slotSorry for the long review below, but I didn't want to miss anything :(- PHOTOS -I have attached some photos to this review, which I clicked with the Mi 4i. All the filters are in the MIUI camera app. I hope they can give you an idea of how good the quality is. I have also included the Xiaomi Mi Pad next to the Mi 4i to give you an idea of the size. They look like brothers.- FULL REVIEW -I owned a 1st Generation Moto G before I bought this, and I was not sure about the Mi 4i. The Moto G has no expandable memory, so I am stuck with 16 GB. I have always required more space because I like to carry a lot of music with me. But I ordered the Mi 4i despite this shortcoming, because apart from the memory issue it has great specifications.The packaging of Xiaomi products is very classy. It comes in a plain cardboard box with simplistic designing, and all the necessary accessories are included inside. Makes for a great gift. No headphones are included with the Mi 4i. You can check out an awesome pair of Xiaomi Mi Piston 2 headphones by clicking on the link.- PROCESSOR & UI -The Snapdragon 615 processor, 2GB RAM and MIUI 6 (User Interface) work together to deliver a nearly flawless experience. You can see that MIUI is heavily influenced by Apple iOS, while maintaining the open-source attitude of Android. Unlike the Xiaomi tablet, this Operating System works well on phone. The OS is updated regularly, and this version is based on Android Lollipop out of the box.The Snapdragon processor and native video player support the latest video format x265. This format fits full HD movies in half the space. This means 1080p movie in ~1GB!Gaming is smooth, Asphalt 8 and FIFA 15 run for hours without any lag whatsoever. I never experienced an overheating issue, but some users were reporting heating for intense 3D games and benchmarking apps. The issue should be resolved with this updated Snapdragon. All functions such as wifi and bluetooth work perfectly, and it does well under heavy multi-tasking. I find that the MIUI launcher has limited customisation. The best way to solve this is to install Nova Launcher. The premium features of this app are incredibly powerful and pirated APKs are available online. If you like the application, I urge you to buy it through the Play Store and support the developer, it only costs 200.- DISPLAY -The screen is vivid and does a great job with colours. Picture and video quality is outstanding, and colours are warm. I feel the Moto G has a brighter screen, but the Mi 4i has warmer colours. It is responsive and no touch-lag was noticeable. I personally don't like big devices, so I think the 5"" screen is the right size for portability and usability.- CAMERA & AUDIO -The 13 MP main camera is well tuned and takes excellent pictures and videos. The front camera (for video chat) is also a decent 5MP and does good quality video recording. The dual flash is a great feature when you require lighting of a warmer kind.The mono speaker on the back is clear but could have been louder. The inbuilt DIRAC sound card has been specially designed to work with Xiaomi headphones. I have a pair of Mi Piston 2 headphones, and when you change the audio settings to match the headphones, it makes the bass thump and gives the sound a studio feel. The improvement is tremendous.- BATTERY -The battery lasts one full day, and charges to 40% at hyper speed if you use the included charger and cable. But for the size (3120 mAh) and big.LITTLE technology of the Snapdragon 615, I feel it should last longer. Unlike the Mi Pad, the Mi 4i phone does not have ""performance"" and ""balanced"" modes.- ISSUES -The biggest problem I have with the phone is that memory cannot be expanded. I carry a lot of data and like to use my phone as a portable storage device, but this is not possible with the Mi 4i. It only gives 12.77 GB to the user, which is even less than the 12.92 GB offered by my Moto G. Vice President of Xiaomi Hugo Barra explained that ""microSD cards are vulnerable to failure and in most cases malfunction in various conditions"". Although he is right, I think this is a compromise we must make to enjoy the benefits of more memory. If the memory cannot be expanded, then the phone must be available in 32/64 GB models.Google and Apple have also given up on expandable memory, because they want users to move to cloud storage. However, this is only feasible in western countries where wifi is almost everywhere. In India, access to the internet is not always available, which is why most people like to store their data on their device. Using the cloud to store data also creates more security risks, and I can't shake the paranoia of China trying to steal my information.Apart from this, the phone is very slippery despite the matte finish. I have already dropped it twice from about 3 feet height, but it has survived both times without scratches. You will definitely need to buy a cover for the phone. The grey colour is also more attractive than the white because it blends well with the screen and bezels.Lastly, MIUI is good for first-time smartphone users and dummies, but too limited for advanced users. Original Android would have been best, but no AOSP ROM is in sight. I feel these are important issues, which is why I reduced one star in the rating.-- VERDICT --The Mi 4i has all the ingredients of a flagship and is outstanding value for money. But 13 GB of space and no expandable memory is stupid. Maybe the more expensive 32 GB version is a better choice.- THANKS! -Thank you for reading this far! If you found my review helpful, please consider clicking the ""YES"" button below :)",702,1
B0117H62QK,4,"I have used almost every device Mi has released yet and i was really satisfied by them.That's why i decided to buy the 32GB version of Mi 4i.If you were following my reviews,i have already reviewed the Mi4 here http://www.amazon.in/gp/customer-reviews/R239TK6Z0HPV9T/Xiaomi says that the Mi 4i was designed to be a flagship phone for the 'emerging markets'. The entire package is good enough for most people looking for a powerful mid-range phone.Apart from the storage capacity, the Mi 4i 32GB specs are the same. To recap, the Xiaomi Mi 4i features a 5-inch full HD (19201080 pixels) IPS OGS display. Under the hood is a second-generation 1.7GHz Snapdragon 615 octa-core (1.1GHz quad-core + 1.7GHz quad-core) 64-bit processor paired with 2GB of RAM.The smartphone also features a 13-megapixel rear camera, 5-megapixel selfie camera, and a 3,120mAh battery with quick charge support. Connectivity options include dual-SIM card slots with both supporting LTE, Wi-Fi 802.11 ac, Bluetooth 4.1, and GPS, and on the software front it runs on Android Lollipop-based MIUI 6.------------------------------------Lets start with the review-----------------------------------#DESIGN--------------Xiaomi decided to go with a simplistic design with the Mi 4i in sharp contrast with their previous releases, the Mi Note (and the Note Pro). The Mi 4i uses a very simple rectangle design that utilizes a polycarbonate battery cover that is non-removable. Its soft touch matte design feels very smooth and luxurious for a phone at its price range. Xiaomi says that the rear of the Mi 4i has an anti-grease coating that won't stain even if you mark it with a permanent pen, though I never tested that out.DISPLAY--------------The Xiaomi Mi 4i features a 5-inch, full HD IPS display with 441ppi (pixels per inch).Its got a great screen which is far superior in sunlight readability or outdoors than the competition . I compared the Mi 4i's display with the Mi 4 and saw that its older sibling displays more vibrant colors and overall better color definition. But it doesn't make mi4i inferior ,in real life scenarios probably you cant see the difference unless you really i need to.PERFORMANCE-------------------------Xiaomi uses the Snapdragon 615 processor, which the company says was especially tweaked by Qualcomm for the Mi 4i. The second generation version of the 615 uses a slightly faster main cores (four cores running at 1.7GHz) and four 1.1GHz lower energy consumption cores for mundane tasks. Paired with the 615 processor is 2GB of RAM plus the 32GB of non-expandable storage.The Mi 4i got a score of 42418 via Antutu, which is a pretty decent score for a phone at its price range.Heating-------------As its snapdragon 615 the heating issue is kind of a normal.But still xiomi did there best in tweaking it for mi4i and helped reduce the heating to some extent.The Mi 4i is no exception ' under full throttle, the phone registered a very hot 44.5 degree Celsius. But it wasn't uncomfortably hot to hold, rather like the Mi Note Pro. With normal browsing, the phone reaches up to 36 degrees Celsius, dropping to 33 in standby Mode..Will update the review after upgrading to MIUI 7.CAMERA---------------Xiaomi Mi 4i is equipped with a 13-megapixel rear camera with dual-tone LED flash, along with a f/1.8 aperture for extraordinary low light performance.Even though there is no optical image stabilization the pictures came out really sharp.The color reproduction is fairly on the higher side and you surely can't get something better at this price.Talking about the selfie,The wide angle lens again wins over most of the selfie crazy phones at this budget.Which again is a plus point.In terms of overall video recording the quality is really good and the noise cancelling microphones does a great job.Battery--------------Good battery lifeXiaomi has equipped the Mi 4i with a 3k+mAh battery. This allows the phone to go around full day of normal use with browsing, calling and watching videos in Facebook. and much more.The battery gets recharged pretty quickly considering the capacity. Didn't notice any quick draining as of yet.Conclusion----------------Its really worth investing over the MI4i 16GB.I would surely recommend the 32GB version if you don't wanna carry OTG pen drives everywhere you go.Have a nice day...",631,1
B0117H62QK,1,"Hello Amazon Team,I really dont feel like rating a single star to this mobile. I purchased the mobile on Oct 15, 2015. Its been just been 4.5 Months and its stopped working & having restart problem. 'Its getting restart after 5 Mins and sometimes i can't switched on'. I have faced this problme during March month. In April month, I went to Xiaomi service center. The service centre did the SW reload and after that problem was not solved. Again after one week i visited Xiaomi service center said, MotherBoard has to be replaced and  it would take 10-15 days for parts to come and you need to wait till then. then it took 2 months for the part to come after my several visits to Service centre. After they relaced it, the very next day i was facing similar problem and then i visited service centre again the very next day and they again did some SW upgrade.But again the same day i was facing all earlier issues and again visisted Xiaomi Service centre on 2nd June, after lot of arguments they again replaced  'motherboard'. But story not ends up here, same day in evening i had same problems (Auto/On/Off ). Visisted Service centr again, asked for replacement, but they told no such policy they have. they can just repair multiple times despite they can't identify what is real issue. Neither they are providing me 'DOA' or any other certificate.For no fault from my end, I'm facing a loss. Financial loss, yes, but more than it, its the emotional loss for the brand name & trust. This incident has made a great impact on my feedback on Brand 'Xiaomi'. As individuals, we give away let go money many times in our day-to-day activities/transactions/purchases if the product is good/ trust worthy brand.I don't know for some reason, I don't feel like my money Rs.10000/- let go. Neither I wish to spend a single rupee on this Mobile repair/replacement.I am very much harassed. Now, I know Amazon is a big Brand and can help me in replacing my mobile.Kindly, provide me a replacement for this.Regards,Amit Singla",109,1
B0117H62QK,1,"Would recommend not to opt for any Mi products infact will go a step ahead and state that i was skeptical about purchasing electronic goods on line and with this deal my worst fear came true.In the month of june 16 i booked a Mi 4i cell phone and it was delivered within a week(invoice no:KA-BLR5-141777691-1149043) as my sim card had not arrived i started using cell phone from 17th june 16 it worked fine till 30th june 16 then all of a sudden found that the battery was not getting charged.my first thought was that there might be some issue with the charger(adaptor) but it was fine and then i took the cell phone to Mi service centre located at theen haath naka,thane on 4th july16 where i was informed that the mother board has conked off and will take 2 weeks to get repaired(WXIN1607040003669),till date there is no sign of my cell phone and the repairing work is still in progress.i would suggest AMAZON to take some corrective measures or stop promoting Mi product else i would be forced to believe that AMAZON has a share in this conning business.regards Amith pillai",5,1
B0117H62QK,2,"The Xiaomi Mi4i has a great features but all those features are useless for me..Cons:1. Less Vibration2. Contact list does not allow to see the profile pic.3. Whatsapp contact does not get sync automatically.4. Force to use Mi Account to sync with any other account like facebook, whatsapp etc.5.Notification on specific app  like whatsapp, facebook, gmail always show one.6. weather widget does show in detail with clock.",6,1
B0117H62QK,1,"Hi guys,After using this phone 8 months it stopped working suddenly and its been more than a month and I have submitted it to one of their highly rated service center in daryaganj in delhi. But its been more than a month I didn't get any response from them and and when I tried to call them they don't even receive phone calls Then when I personally went there to ask update around three weeks ago they told be that they don't have parts and again after one month they are giving me same reason that they don't have parts moreover the main person of the service center was also abusing Mi service .I am Sharing my worst experience as same was happened with my brother also.I am keep writing mails to ""service.in@xiaomi.com"" and ""xiaomi_service@mailsy.custhelp.com"" but always receive auto generated mail from them.I am sharing all the mails in attachments please take a look.",4,1
B0117H62QK,1,Worst phone ... Battery is very bad. even after full charge it doesnot run 14-15 hours and phone become hot after using 20-25 min and also hang when i click picture and i buy this phone before 1 month and showing many problem so i requested to all buyer please don't buy this phone from amazon because they give me refurbrished phone ...  So please please.. don't buy this phone...,13,1
B0117H62QK,4,"This mobile deserves appreciation. Want to know why, lets find out.I used this phone for 2 months thanks to my ex-office they gave me this as my daily driver. It is one of the best in it's price segment.1. Good display - Thanks to its 1080p IPS panel the display is very crisp with good contrast ratio and brightness level. The sunlight readability is also pretty good.2. Fast charging - The phone fully charges its 3120mAh battery in around 2.5 hours which is quick. If the phone didn't have this technology it would take it to charge in 4 to 5 hours.3. Good camera - If you take lot of photographs in the day light then this is the best camera you are going to get in this price range. But in low lights the camera suffers as the images tend to be grainy. Though the HDR mode does help a little bit in improving the quality. But in comparison to other phones in this price segment the low light image is decent than other phones. Take a look at the photos samples.4. Software - The operating system is pretty smooth as well and very user friendly. The company has also rolled out the update which makes it even better.5. Performance - Thanks to it's 2 gb of ram multitasking is a breeze in this handset. But the phone lags sometimes because of the mid level processor, but it is fairly smooth if you don't throw a lot of graphics intensive games at it and keep the settings at medium level during game plays. Normal day to day operations is very smooth and fluid.The phone slows down a bit when minimizing some apps. This is not very frequent but 1 out of 10 times it slows down and a message displays ""Just a sec..."". Find the screen shot of the same attached.I recommend to buy this phone if you want a decent camera (photo samples attached), with quick charging battery and good display at this price segment.If you found this review please hit the like button it would not take more than a second of your precious time. Thanks.",73,1
B0117H62QK,1,My Mi4i stopped working and service center said they will not be able to repair the same.It's was still under warranty and they do not have any parts.They also do not know when the parts would be available.They have my phone from over a month now.Very poor Mi service.Avoid Mi phone due to poor service and unavailability of parts,4,1
B0117H62QK,1,This phone is such a waste. The screen is of very poor quality and cracked on it's own without any physical impact. The customer support is worthless. They simply won't reply to your mails.,26,1
